First,Second,Weight
何瑶瑶,余周周,8
何瑶瑶,凌翔茜,5
何瑶瑶,徐志强,1
何瑶瑶,辛锐,34
余周周,余婷婷,84
余周周,余思窈,5
余周周,凌翔茜,108
余周周,周沈然,16
余周周,奔奔,183
余周周,徐志强,68
余周周,林杨,567
余周周,楚天阔,12
余周周,温淼,187
余周周,米乔,53
余周周,蒋川,18
余周周,詹燕飞,85
余周周,辛锐,298
余周周,郑彦一,2
余周周,陈桉,295
余婷婷,凌翔茜,4
余婷婷,林杨,7
余婷婷,温淼,1
余婷婷,蒋川,1
凌翔茜,周沈然,2
凌翔茜,徐志强,1
凌翔茜,林杨,99
凌翔茜,楚天阔,57
凌翔茜,蒋川,47
凌翔茜,詹燕飞,3
凌翔茜,辛锐,59
周沈然,林杨,19
周沈然,蒋川,2
周沈然,陈桉,1
奔奔,徐志强,9
奔奔,林杨,15
奔奔,温淼,1
奔奔,米乔,10
奔奔,詹燕飞,2
奔奔,辛锐,2
奔奔,陈桉,5
徐志强,林杨,1
徐志强,温淼,7
徐志强,辛锐,32
林杨,楚天阔,42
林杨,温淼,3
林杨,米乔,19
林杨,蒋川,52
林杨,詹燕飞,16
林杨,辛锐,17
林杨,陈桉,8
楚天阔,蒋川,2
楚天阔,辛锐,13
楚天阔,陈桉,1
温淼,米乔,1
温淼,詹燕飞,1
温淼,辛锐,32
温淼,陈桉,1
蒋川,詹燕飞,3
蒋川,辛锐,1
辛锐,陈桉,2
